qseqid,sseqid,pident,length,similarity_score,uniprot_id
sp|A6NDE4|RBY1B_HUMAN,5IQQ_A,33.708,18,6.06744,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5O3J_A,39.437,14,5.52118,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5ITH_A,36.667,18,6.60006,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6C8U_1,44.068,12,5.28816,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2JRS_A,37.333,15,5.59995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6FF4_1,33.333,15,4.99995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MYF_A,38.158,15,5.7237,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3MD3_A,30.864,18,5.55552,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3MD3_A,32.143,18,5.78574,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2YWK_A,34.615,16,5.5384,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1P1T_A,32.0,15,4.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2I38_A,35.616,15,5.3424,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4CH0_S,45.161,12,5.41932,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2RU3_A,45.161,12,5.41932,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6DBP_A,43.103,11,4.74133,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KN4_A,36.842,15,5.5263,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1UAW_A,44.231,10,4.4231,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MGZ_B,45.161,12,5.41932,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6R5K_D,33.75,16,5.4,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6R5K_D,35.616,16,5.69856,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6R5K_D,27.632,16,4.42112,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2I2Y_A,34.247,15,5.13705,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1WHW_A,34.884,17,5.93028,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4F02_A,32.941,17,5.59997,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4F02_A,30.137,17,5.12329,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5O2V_A,31.818,18,5.72724,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X4B_A,35.897,16,5.74352,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6G90_B,40.0,12,4.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5Z58_4,36.0,15,5.4,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5Z58_4,37.975,15,5.69625,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1CVJ_A,32.941,17,5.59997,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1CVJ_A,30.137,17,5.12329,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1D8Z_A,32.143,17,5.46431,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5UZ5_A,40.0,12,4.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNQ_A,33.333,17,5.66661,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CQ0_A,37.079,18,6.67422,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5GVQ_A,32.927,16,5.26832,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGS_A,34.118,17,5.80006,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MGZ_A,32.927,17,5.59759,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5IM0_B,38.462,16,6.15392,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6ELD_A,31.818,18,5.72724,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1H2T_Z,31.507,15,4.72605,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5OO6_B,31.507,15,4.72605,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4UQT_A,33.784,15,5.0676,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6G2K_A,34.722,14,4.86108,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6D0Y_A,31.507,15,4.72605,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6GD2_A,34.722,14,4.86108,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CQD_A,43.548,12,5.22576,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5IM0_A,38.462,16,6.15392,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6GC5_A,34.722,14,4.86108,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1H6K_Z,30.556,15,4.5834,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2E5H_A,37.879,13,4.92427,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5X3Y_A,29.0,20,5.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPF_A,35.294,16,5.64704,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MKC_A,33.784,15,5.0676,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5LQW_J,33.784,15,5.0676,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNM_A,31.325,17,5.32525,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5HO4_A,37.778,17,6.42226,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5HO4_A,40.299,17,6.85083,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5EN1_A,37.778,17,6.42226,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5EN1_A,43.636,17,7.41812,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNP_A,33.735,17,5.73495,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5CA5_A,34.722,15,5.2083,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3BS9_A,37.975,16,6.076,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MPG_A,30.769,16,4.92304,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DO4_A,31.944,15,4.7916,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2HVZ_A,30.667,15,4.60005,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4LMZ_A,40.0,14,5.6,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4LMZ_A,32.877,14,4.60278,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3MD1_A,33.333,15,4.99995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2RS2_A,44.231,10,4.4231,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3CW1_K,34.247,15,5.13705,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4A8X_A,30.488,16,4.87808,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3PGW_S,34.247,15,5.13705,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1FNX_H,32.099,17,5.45683,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1FNX_H,33.333,17,5.66661,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4ZKA_A,33.333,16,5.33328,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1HD0_A,36.0,15,5.4,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5FJ4_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2ERR_A,33.333,16,5.33328,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KHC_A,35.714,17,6.07138,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4C4W_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1WTB_A,38.182,11,4.20002,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1OIA_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2N82_B,33.333,16,5.33328,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4YB1_P,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2QFJ_A,34.247,17,5.82199,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2QFJ_A,27.059,17,4.60003,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1AUD_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1U6B_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1IQT_A,38.182,11,4.20002,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2LYV_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2LYV_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3K0J_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KXF_A,34.247,17,5.82199,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KXF_A,27.059,17,4.60003,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1PGZ_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1PGZ_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1L3K_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1L3K_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2NZ4_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3L3C_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CQ3_A,31.395,17,5.33715,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3IWN_C,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1URN_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3S7R_A,36.364,15,5.4546,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1M5K_C,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1U6F_A,30.526,19,5.79994,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1UP1_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1UP1_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4PKD_B,31.707,17,5.39019,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4PKD_B,32.5,17,5.525,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6GD1_A,34.722,14,4.86108,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6DCL_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6DCL_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2UP1_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2UP1_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5W0H_A,34.211,15,5.13165,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2U2F_A,34.211,15,5.13165,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1HA1_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1HA1_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4YOE_A,42.0,13,5.46,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4YOE_A,35.938,13,4.67194,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2OSQ_A,30.263,15,4.53945,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3BO2_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPD_A,36.0,15,5.4,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1FXL_A,31.579,15,4.73685,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1FXL_A,33.333,15,4.99995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1D9A_A,33.333,16,5.33328,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NNC_A,33.824,14,4.73536,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NNC_A,31.818,14,4.45452,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1B7F_A,31.579,17,5.36843,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1B7F_A,27.941,17,4.74997,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DHS_A,33.824,14,4.73536,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DHS_A,31.169,14,4.36366,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2SXL_A,31.579,15,4.73685,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5EV1_A,33.735,17,5.73495,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4QQB_A,31.579,17,5.36843,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4QQB_A,27.941,17,4.74997,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5X8R_VV,32.143,17,5.46431,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5X8R_VV,30.38,17,5.1646,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2YH1_A,33.735,17,5.73495,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3VAF_A,34.211,15,5.13165,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6ICZ_WW,30.137,15,4.52055,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2J0Q_D,30.137,15,4.52055,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MPL_A,42.0,10,4.2,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4TU7_A,34.211,15,5.13165,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MMJ_VV,32.143,17,5.46431,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MMJ_VV,30.38,17,5.1646,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2JVO_A,30.38,16,4.8608,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2G4B_A,34.211,15,5.13165,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5K0Y_O,35.616,15,5.3424,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1A9N_B,28.767,15,4.31505,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MSS_A,36.735,10,3.6735,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2J0S_D,30.137,15,4.52055,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3PGW_A,31.646,15,4.7469,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3PGW_A,35.065,15,5.25975,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5SZW_A,28.947,15,4.34205,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1FHT_A,31.707,16,5.07312,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNK_A,30.645,13,3.98385,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NMR_A,36.207,14,5.06898,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NMR_A,32.877,14,4.60278,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2XB2_D,30.137,15,4.52055,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3SXL_A,31.579,17,5.36843,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3SXL_A,27.941,17,4.74997,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3HI9_A,29.63,16,4.7408,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3UWT_A,32.877,15,4.93155,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGU_A,31.765,17,5.40005,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X4A_A,31.507,15,4.72605,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2HYI_B,30.137,15,4.52055,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DO0_A,27.835,20,5.567,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3EX7_B,28.409,16,4.54544,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2D9P_A,26.316,15,3.9474,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1WF2_A,29.114,16,4.65824,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6CMN_A,31.646,15,4.7469,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4LJM_B,31.25,16,5.0,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X5T_A,32.941,17,5.59997,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5LJ3_Y,32.911,16,5.26576,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1P27_B,28.409,16,4.54544,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5M8I_A,31.25,16,5.0,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGP_A,35.714,16,5.71424,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5LSL_A,30.864,16,4.93824,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPJ_A,32.0,15,4.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4FXV_A,28.947,15,4.34205,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2U1A_A,35.065,15,5.25975,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2FHO_B,32.787,12,3.93444,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGV_A,36.486,15,5.4729,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MQF_X,28.049,16,4.48784,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MQF_X,36.364,16,5.81824,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6ES4_A,31.325,16,5.012,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5IFM_A,31.944,15,4.7916,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3SDE_B,31.944,15,4.7916,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1NO8_A,28.767,15,4.31505,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4WIJ_A,30.556,15,4.5834,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGQ_A,33.654,20,6.7308,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1OO0_B,30.137,15,4.52055,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2FC8_A,32.0,15,4.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3LQV_A,29.577,14,4.14078,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2F9D_A,32.787,12,3.93444,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5WPA_A,30.556,15,4.5834,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4WII_A,30.556,15,4.5834,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DH9_A,36.986,14,5.17804,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPE_A,31.183,17,5.30111,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2FC9_A,33.735,17,5.73495,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6F4G_B,32.813,13,4.26569,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5LSB_A,27.35,22,6.017,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2K3K_A,32.813,13,4.26569,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4EGL_A,28.947,17,4.92099,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4EGL_A,33.333,17,5.66661,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5UZ5_F,29.63,16,4.7408,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6G90_R,27.35,22,6.017,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPZ_A,28.571,18,5.14278,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NNH_A,31.818,12,3.81816,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4ED5_A,28.947,17,4.92099,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4ED5_A,33.333,17,5.66661,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MXY_A,29.032,18,5.22576,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGT_A,27.397,15,4.10955,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2F9J_A,32.787,12,3.93444,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3SDE_A,30.556,15,4.5834,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5IFN_A,30.556,15,4.5834,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1HL6_A,28.421,19,5.39999,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3ULH_A,28.767,15,4.31505,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KM8_B,23.944,14,3.35216,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2K8G_A,29.87,16,4.7792,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2N3L_A,29.63,16,4.7408,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPX_A,31.522,17,5.35874,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1SXL_A,29.508,12,3.54096,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2X1A_A,23.944,14,3.35216,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X4G_A,24.096,17,4.09632,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5YVG_X,29.412,15,4.4118,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1WF1_A,27.848,16,4.45568,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2X1F_A,23.944,14,3.35216,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNH_A,30.645,13,3.98385,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4F25_A,29.87,16,4.7792,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2F3J_A,27.397,15,4.10955,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3JB9_Y,30.612,19,5.81628,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KT5_A,27.027,15,4.05405,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2YKA_A,27.027,15,4.05405,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2B0G_A,32.468,15,4.8702,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNO_A,26.966,17,4.58422,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6EZ7_A,29.333,15,4.39995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MMY_A,33.333,17,5.66661,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DK2_A,31.325,17,5.32525,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2M70_A,24.0,15,3.6,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X5P_A,30.0,14,4.2,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X4E_A,27.711,17,4.71087,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2LA6_A,30.864,16,4.93824,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NS5_A,33.333,11,3.66663,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2LKZ_A,36.207,10,3.6207,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4P6Q_A,26.923,16,4.30768,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNG_A,28.0,15,4.2,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2LCW_A,30.12,17,5.1204,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3GUE_A,28.09,18,5.0562,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3NS6_A,33.333,11,3.66663,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6GBM_B,39.583,9,3.56247,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3EGN_A,29.762,15,4.4643,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5WU6_A,25.287,18,4.55166,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2BZ2_A,28.571,13,3.71423,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6GML_X,26.984,13,3.50792,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5OBN_A,29.762,15,4.4643,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CPH_A,27.586,17,4.68962,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2ADC_A,25.926,16,4.14816,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,6GFV_A,27.0,40,10.8,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KRB_A,26.786,11,2.94646,A6NDE4
